"","ProfileOutput"
"Position","Intensity"
"m","Counts"
0.000000e+00,4.232141e+04
1.369514e-10,4.128965e+04
2.739028e-10,4.093072e+04
4.108542e-10,4.093810e+04
5.478056e-10,4.149870e+04
6.847570e-10,4.284873e+04
8.217083e-10,4.384787e+04
9.586597e-10,4.556032e+04
1.095611e-09,4.725346e+04
1.232563e-09,4.881932e+04
1.369514e-09,5.060602e+04
1.506465e-09,5.143023e+04
1.643417e-09,5.287095e+04
1.780368e-09,5.392009e+04
1.917319e-09,5.446788e+04
2.054271e-09,5.471943e+04
2.191222e-09,5.510778e+04
2.328174e-09,5.484432e+04
2.465125e-09,5.444252e+04
2.602076e-09,5.389468e+04
2.739028e-09,5.295376e+04
2.875979e-09,5.160374e+04
3.012931e-09,5.031718e+04
3.149882e-09,4.882782e+04
3.286833e-09,4.689018e+04
3.423785e-09,4.506014e+04
3.560736e-09,4.304022e+04
3.697688e-09,4.204395e+04
3.834639e-09,4.117868e+04
3.971590e-09,4.043134e+04
4.108542e-09,4.051805e+04
4.245493e-09,4.112377e+04
4.382444e-09,4.200824e+04
4.519396e-09,4.396169e+04
4.656347e-09,4.542633e+04
4.793299e-09,4.710934e+04
4.930250e-09,4.891589e+04
5.067201e-09,5.087443e+04
5.204153e-09,5.235099e+04
5.341104e-09,5.348406e+04
5.478056e-09,5.450547e+04
5.615007e-09,5.518659e+04
5.751958e-09,5.582487e+04
5.888910e-09,5.594600e+04
6.025861e-09,5.617531e+04
6.162813e-09,5.584811e+04
6.299764e-09,5.523490e+04
6.436715e-09,5.443441e+04
6.573667e-09,5.325434e+04
6.710618e-09,5.174418e+04
6.847570e-09,5.043410e+04
6.984521e-09,4.870505e+04
7.121472e-09,4.661321e+04
7.258424e-09,4.516156e+04
7.395375e-09,4.379621e+04
7.532326e-09,4.271212e+04
7.669278e-09,4.157932e+04
7.806229e-09,4.197780e+04
7.943181e-09,4.233052e+04
8.080132e-09,4.347396e+04
8.217083e-09,4.479091e+04
8.354035e-09,4.670173e+04
8.490986e-09,4.825253e+04
8.627938e-09,5.008680e+04
8.764889e-09,5.150120e+04
8.901840e-09,5.308790e+04
9.038792e-09,5.405203e+04
9.175743e-09,5.508671e+04
9.312695e-09,5.611791e+04
9.449646e-09,5.662850e+04
9.586597e-09,5.698713e+04
9.723549e-09,5.706819e+04
9.860500e-09,5.726107e+04
9.997451e-09,5.644797e+04
1.013440e-08,5.612099e+04
1.027135e-08,5.538109e+04
1.040831e-08,5.397138e+04
1.054526e-08,5.278721e+04
1.068221e-08,5.122437e+04
1.081916e-08,4.988539e+04
1.095611e-08,4.784515e+04
1.109306e-08,4.647433e+04
1.123001e-08,4.519340e+04
1.136697e-08,4.422589e+04
1.150392e-08,4.378368e+04
1.164087e-08,4.405107e+04
1.177782e-08,4.474414e+04
1.191477e-08,4.598682e+04
1.205172e-08,4.753602e+04
1.218867e-08,4.899347e+04
1.232563e-08,5.053295e+04
1.246258e-08,5.225862e+04
1.259953e-08,5.377732e+04
1.273648e-08,5.501450e+04
1.287343e-08,5.623122e+04
1.301038e-08,5.704959e+04
1.314733e-08,5.788439e+04
1.328428e-08,5.812277e+04
1.342124e-08,5.829549e+04
1.355819e-08,5.872176e+04
1.369514e-08,5.831967e+04
1.383209e-08,5.798308e+04
1.396904e-08,5.728762e+04
1.410599e-08,5.645545e+04
1.424294e-08,5.512265e+04
1.437990e-08,5.412097e+04
1.451685e-08,5.251265e+04
1.465380e-08,5.115549e+04
1.479075e-08,4.959938e+04
1.492770e-08,4.828956e+04
1.506465e-08,4.726805e+04
1.520160e-08,4.666156e+04
1.533856e-08,4.673196e+04
1.547551e-08,4.710888e+04
1.561246e-08,4.813106e+04
1.574941e-08,4.918198e+04
1.588636e-08,5.091464e+04
1.602331e-08,5.215525e+04
1.616026e-08,5.342005e+04
1.629722e-08,5.496330e+04
1.643417e-08,5.627999e+04
1.657112e-08,5.730667e+04
1.670807e-08,5.829412e+04
1.684502e-08,5.892945e+04
1.698197e-08,5.951774e+04
1.711892e-08,5.968893e+04
1.725588e-08,5.968135e+04
1.739283e-08,5.947912e+04
1.752978e-08,5.898323e+04
1.766673e-08,5.851520e+04
1.780368e-08,5.766529e+04
1.794063e-08,5.643561e+04
1.807758e-08,5.517834e+04
1.821453e-08,5.409315e+04
1.835149e-08,5.240811e+04
1.848844e-08,5.091139e+04
1.862539e-08,4.946350e+04
1.876234e-08,4.842012e+04
1.889929e-08,4.766457e+04
1.903624e-08,4.753331e+04
1.917319e-08,4.778203e+04
1.931015e-08,4.855731e+04
1.944710e-08,4.950388e+04
1.958405e-08,5.108594e+04
1.972100e-08,5.239409e+04
1.985795e-08,5.365075e+04
1.999490e-08,5.510834e+04
2.013185e-08,5.630836e+04
2.026881e-08,5.725201e+04
2.040576e-08,5.804822e+04
2.054271e-08,5.840938e+04
2.067966e-08,5.911966e+04
2.081661e-08,5.911398e+04
2.095356e-08,5.924695e+04
2.109051e-08,5.930379e+04
2.122747e-08,5.865805e+04
2.136442e-08,5.821479e+04
2.150137e-08,5.727096e+04
2.163832e-08,5.621246e+04
2.177527e-08,5.486182e+04
2.191222e-08,5.334881e+04
2.204917e-08,5.221284e+04
2.218613e-08,5.044084e+04
2.232308e-08,4.916974e+04
2.246003e-08,4.826477e+04
2.259698e-08,4.769193e+04
2.273393e-08,4.736232e+04
2.287088e-08,4.761795e+04
2.300783e-08,4.869148e+04
2.314478e-08,4.959300e+04
2.328174e-08,5.085547e+04
2.341869e-08,5.228641e+04
2.355564e-08,5.338230e+04
2.369259e-08,5.431386e+04
2.382954e-08,5.561833e+04
2.396649e-08,5.653709e+04
2.410344e-08,5.729785e+04
2.424040e-08,5.772427e+04
2.437735e-08,5.794682e+04
2.451430e-08,5.791612e+04
