"","ProfileOutput"
"Position","Intensity"
"m","Counts"
1.355819e-08,3.102046e+04
1.362666e-08,3.143711e+04
1.369514e-08,3.180076e+04
1.376361e-08,3.221488e+04
1.383209e-08,3.263101e+04
1.390057e-08,3.313546e+04
1.396904e-08,3.354376e+04
1.403752e-08,3.412014e+04
1.410599e-08,3.456500e+04
1.417447e-08,3.512759e+04
1.424294e-08,3.573810e+04
1.431142e-08,3.599936e+04
1.437990e-08,3.623265e+04
1.444837e-08,3.632582e+04
1.451685e-08,3.652199e+04
1.458532e-08,3.660463e+04
1.465380e-08,3.652318e+04
1.472227e-08,3.638320e+04
1.479075e-08,3.618394e+04
1.485923e-08,3.575672e+04
1.492770e-08,3.525407e+04
1.499618e-08,3.483211e+04
1.506465e-08,3.443712e+04
1.513313e-08,3.388914e+04
1.520160e-08,3.337135e+04
1.527008e-08,3.276838e+04
1.533856e-08,3.219457e+04
1.540703e-08,3.168589e+04
1.547551e-08,3.120516e+04
1.554398e-08,3.073490e+04
1.561246e-08,3.050298e+04
1.568093e-08,3.022341e+04
1.574941e-08,3.008679e+04
1.581789e-08,2.986489e+04
1.588636e-08,2.975704e+04
1.595484e-08,2.988809e+04
1.602331e-08,3.010070e+04
1.609179e-08,3.040058e+04
1.616026e-08,3.075794e+04
1.622874e-08,3.125063e+04
1.629722e-08,3.192327e+04
1.636569e-08,3.245451e+04
1.643417e-08,3.304443e+04
1.650264e-08,3.354269e+04
1.657112e-08,3.423648e+04
1.663959e-08,3.470217e+04
1.670807e-08,3.522977e+04
1.677655e-08,3.575966e+04
1.684502e-08,3.600818e+04
1.691350e-08,3.639810e+04
1.698197e-08,3.651894e+04
1.705045e-08,3.665627e+04
1.711892e-08,3.672916e+04
1.718740e-08,3.664960e+04
1.725588e-08,3.636582e+04
1.732435e-08,3.604384e+04
1.739283e-08,3.573493e+04
1.746130e-08,3.525496e+04
1.752978e-08,3.476909e+04
1.759825e-08,3.437954e+04
1.766673e-08,3.383844e+04
1.773521e-08,3.308732e+04
1.780368e-08,3.239510e+04
1.787216e-08,3.187834e+04
1.794063e-08,3.139952e+04
1.800911e-08,3.074374e+04
1.807758e-08,3.037077e+04
1.814606e-08,3.010455e+04
1.821453e-08,3.001737e+04
1.828301e-08,2.995363e+04
1.835149e-08,2.981776e+04
1.841996e-08,2.995329e+04
1.848844e-08,3.012938e+04
1.855691e-08,3.038059e+04
1.862539e-08,3.062532e+04
1.869386e-08,3.106872e+04
1.876234e-08,3.160441e+04
1.883082e-08,3.222986e+04
1.889929e-08,3.283641e+04
1.896777e-08,3.344036e+04
1.903624e-08,3.413221e+04
1.910472e-08,3.477275e+04
1.917319e-08,3.536556e+04
1.924167e-08,3.580507e+04
1.931015e-08,3.627737e+04
1.937862e-08,3.659221e+04
1.944710e-08,3.678310e+04
1.951557e-08,3.690815e+04
1.958405e-08,3.699316e+04
1.965252e-08,3.705238e+04
1.972100e-08,3.682896e+04
1.978948e-08,3.631075e+04
1.985795e-08,3.594692e+04
1.992643e-08,3.555248e+04
1.999490e-08,3.517635e+04
2.006338e-08,3.467134e+04
2.013185e-08,3.413392e+04
2.020033e-08,3.341270e+04
2.026881e-08,3.269360e+04
2.033728e-08,3.209902e+04
2.040576e-08,3.157002e+04
2.047423e-08,3.112246e+04
2.054271e-08,3.067588e+04
2.061118e-08,3.014385e+04
2.067966e-08,3.004956e+04
2.074814e-08,2.985612e+04
2.081661e-08,2.978236e+04
2.088509e-08,2.975231e+04
2.095356e-08,2.992822e+04
2.102204e-08,3.013440e+04
2.109051e-08,3.041488e+04
2.115899e-08,3.087429e+04
2.122747e-08,3.142203e+04
2.129594e-08,3.195130e+04
2.136442e-08,3.245450e+04
2.143289e-08,3.293536e+04
2.150137e-08,3.364366e+04
2.156984e-08,3.428598e+04
2.163832e-08,3.483333e+04
2.170680e-08,3.525826e+04
2.177527e-08,3.577462e+04
2.184375e-08,3.598413e+04
2.191222e-08,3.619127e+04
2.198070e-08,3.619262e+04
2.204917e-08,3.622425e+04
2.211765e-08,3.620277e+04
2.218613e-08,3.623793e+04
2.225460e-08,3.610878e+04
2.232308e-08,3.591701e+04
2.239155e-08,3.560848e+04
2.246003e-08,3.506880e+04
2.252850e-08,3.449727e+04
2.259698e-08,3.397244e+04
2.266546e-08,3.334199e+04
2.273393e-08,3.256498e+04
2.280241e-08,3.192239e+04
2.287088e-08,3.123391e+04
2.293936e-08,3.068004e+04
2.300783e-08,3.015643e+04
2.307631e-08,2.962132e+04
2.314478e-08,2.913230e+04
2.321326e-08,2.887645e+04
2.328174e-08,2.869287e+04
2.335021e-08,2.867033e+04
2.341869e-08,2.870569e+04
2.348716e-08,2.868355e+04
2.355564e-08,2.900650e+04
2.362411e-08,2.951592e+04
2.369259e-08,2.982592e+04
2.376107e-08,3.025362e+04
2.382954e-08,3.088568e+04
2.389802e-08,3.141401e+04
2.396649e-08,3.205711e+04
2.403497e-08,3.255759e+04
2.410344e-08,3.300856e+04
2.417192e-08,3.351014e+04
2.424040e-08,3.402406e+04
2.430887e-08,3.446593e+04
2.437735e-08,3.476962e+04
