"","ProfileOutput"
"Position","Intensity"
"m","Counts"
1.085270e-07,2.145190e+04
1.090751e-07,2.139989e+04
1.096232e-07,2.134994e+04
1.101713e-07,2.129477e+04
1.107195e-07,2.125032e+04
1.112676e-07,2.120950e+04
1.118157e-07,2.116769e+04
1.123638e-07,2.112779e+04
1.129119e-07,2.108235e+04
1.134600e-07,2.104665e+04
1.140082e-07,2.102047e+04
1.145563e-07,2.100135e+04
1.151044e-07,2.099084e+04
1.156525e-07,2.098603e+04
1.162006e-07,2.098539e+04
1.167487e-07,2.098867e+04
1.172968e-07,2.100309e+04
1.178450e-07,2.102518e+04
1.183931e-07,2.105786e+04
1.189412e-07,2.110147e+04
1.194893e-07,2.114893e+04
1.200374e-07,2.119674e+04
1.205855e-07,2.124534e+04
1.211337e-07,2.130323e+04
1.216818e-07,2.136707e+04
1.222299e-07,2.141564e+04
1.227780e-07,2.145916e+04
1.233261e-07,2.149374e+04
1.238742e-07,2.152880e+04
1.244224e-07,2.156184e+04
1.249705e-07,2.158454e+04
1.255186e-07,2.161093e+04
1.260667e-07,2.162058e+04
1.266148e-07,2.163411e+04
1.271629e-07,2.164125e+04
1.277111e-07,2.164654e+04
1.282592e-07,2.164953e+04
1.288073e-07,2.165001e+04
1.293554e-07,2.164897e+04
1.299035e-07,2.164771e+04
1.304516e-07,2.164159e+04
1.309998e-07,2.163590e+04
1.315479e-07,2.161979e+04
1.320960e-07,2.160754e+04
1.326441e-07,2.158071e+04
1.331922e-07,2.154947e+04
1.337403e-07,2.151624e+04
1.342884e-07,2.147462e+04
1.348366e-07,2.142679e+04
1.353847e-07,2.137838e+04
1.359328e-07,2.132440e+04
1.364809e-07,2.127366e+04
1.370290e-07,2.122577e+04
1.375771e-07,2.117585e+04
1.381253e-07,2.112455e+04
1.386734e-07,2.107915e+04
1.392215e-07,2.104801e+04
1.397696e-07,2.102020e+04
1.403177e-07,2.100298e+04
1.408658e-07,2.099218e+04
1.414140e-07,2.098477e+04
1.419621e-07,2.098138e+04
1.425102e-07,2.098256e+04
1.430583e-07,2.098623e+04
1.436064e-07,2.099816e+04
1.441545e-07,2.101700e+04
1.447027e-07,2.104824e+04
1.452508e-07,2.109120e+04
1.457989e-07,2.113066e+04
1.463470e-07,2.118054e+04
1.468951e-07,2.123020e+04
1.474432e-07,2.128705e+04
1.479914e-07,2.135677e+04
1.485395e-07,2.141067e+04
1.490876e-07,2.146187e+04
1.496357e-07,2.150136e+04
1.501838e-07,2.153706e+04
1.507319e-07,2.157399e+04
1.512800e-07,2.159573e+04
1.518282e-07,2.161361e+04
1.523763e-07,2.162845e+04
1.529244e-07,2.163828e+04
1.534725e-07,2.164420e+04
1.540206e-07,2.164965e+04
1.545687e-07,2.165438e+04
1.551169e-07,2.165980e+04
1.556650e-07,2.165291e+04
1.562131e-07,2.165501e+04
1.567612e-07,2.165268e+04
1.573093e-07,2.165234e+04
1.578574e-07,2.164893e+04
1.584056e-07,2.163887e+04
1.589537e-07,2.161988e+04
1.595018e-07,2.159853e+04
1.600499e-07,2.156488e+04
1.605980e-07,2.152873e+04
1.611461e-07,2.149430e+04
1.616943e-07,2.144421e+04
1.622424e-07,2.138900e+04
1.627905e-07,2.133855e+04
1.633386e-07,2.128430e+04
1.638867e-07,2.123253e+04
1.644348e-07,2.117293e+04
1.649829e-07,2.111924e+04
1.655311e-07,2.107099e+04
1.660792e-07,2.103710e+04
1.666273e-07,2.101184e+04
1.671754e-07,2.099713e+04
1.677235e-07,2.098807e+04
1.682716e-07,2.098033e+04
1.688198e-07,2.097692e+04
1.693679e-07,2.097535e+04
1.699160e-07,2.097689e+04
1.704641e-07,2.098070e+04
1.710122e-07,2.098957e+04
1.715603e-07,2.100852e+04
1.721085e-07,2.103884e+04
1.726566e-07,2.107750e+04
1.732047e-07,2.112362e+04
1.737528e-07,2.117463e+04
1.743009e-07,2.122955e+04
1.748490e-07,2.129457e+04
1.753972e-07,2.135999e+04
1.759453e-07,2.142991e+04
1.764934e-07,2.147974e+04
1.770415e-07,2.152793e+04
1.775896e-07,2.156462e+04
1.781377e-07,2.159596e+04
1.786859e-07,2.161608e+04
1.792340e-07,2.163079e+04
1.797821e-07,2.164105e+04
1.803302e-07,2.164644e+04
1.808783e-07,2.165244e+04
1.814264e-07,2.165905e+04
1.819745e-07,2.166423e+04
1.825227e-07,2.166526e+04
1.830708e-07,2.166720e+04
1.836189e-07,2.166767e+04
1.841670e-07,2.166178e+04
1.847151e-07,2.166424e+04
1.852632e-07,2.165849e+04
1.858114e-07,2.165207e+04
1.863595e-07,2.164000e+04
1.869076e-07,2.162455e+04
1.874557e-07,2.160154e+04
1.880038e-07,2.157743e+04
1.885519e-07,2.153759e+04
1.891001e-07,2.150329e+04
1.896482e-07,2.145554e+04
1.901963e-07,2.139410e+04
1.907444e-07,2.132737e+04
1.912925e-07,2.125568e+04
1.918406e-07,2.119392e+04
1.923888e-07,2.112730e+04
1.929369e-07,2.107840e+04
1.934850e-07,2.103973e+04
1.940331e-07,2.101542e+04
